Name,Radius,Mass,Gravity,Distance
SDSS J000013.54+255418.6Â [de],70777296.90899992,9.1136425536e+28,1213.4723373937989,46.1
2MASS J00040288-6410358,116532317.13299993,3.6074835108e+28,177.18927226995092,192.0
2MASS J00242463-0158201,77926518.81899999,1.49995367028e+29,1647.5292272061336,37.7
2MASS J00274197+0503417,102948795.50399992,5.8858941492000005e+28,370.42112122103975,236.0
2MASSW J0030300-145033,70062374.71799994,1.02528478728e+29,1393.1588584075591,87.2
2MASS J00332386-1521309Â [de],102233873.31299992,5.5061590428e+28,351.3864053917692,131.0
2MASS J00345157+0523050,67202685.95399994,7.974437234399999e+28,1177.7486511370575,31.0
2MASS 0036+1821,67202685.95399994,7.974437234399999e+28,1177.7486511370575,28.6
2MASSW J0045214+163445,115817394.942,4.3669537236e+28,217.1485027627916,57.0
WISEP J004701.06+680352.1Â [fr],92939884.82999994,2.2784106384e+28,175.93553814787887,40.0
2MASS J00501994-3322402Â [de],67202685.95399994,7.594702128e+28,1121.6653820352933,34.0
2MASS J00584253-0651239Â [de],102233873.31299992,5.5061590428e+28,351.3864053917692,96.0
2MASSI J0103320+193536,70062374.71799994,9.8731127664e+28,1341.560382170242,70.0
SDSSp J010752.33+004156.1Â [de],70062374.71799994,9.8731127664e+28,1341.560382170242,51.0
2MASSI J0117474-340325Â [de],115817394.942,3.797351064e+28,188.8247850111232,163.0
2MASS J01415823-4633574Â [de],115102472.751,3.797351064e+28,191.17771914015336,130.0
SDSS J015141.69+124429.6,69347452.52699994,8.9237750004e+28,1237.6943879163591,70.0
SDSS J020742.48+000056.2Â [de],69347452.52699994,8.9237750004e+28,1237.6943879163591,111.0
2MASS J02103857-3015313,109383095.223,2.848013298e+28,158.7696289193873,101.0
2MASS J02340093-6442068,115817394.942,3.797351064e+28,188.8247850111232,155.0
2MASS J02411151-0326587Â [de],100804028.93099992,5.1264239364e+28,336.49961461058786,152.0
2MASS J02431371âˆ’2453298,70777296.90899992,6.265629255599999e+28,834.2622319582366,35.0
LP 771-21,77211596.628,1.48096691496e+29,1656.937488472605,53.0
Teegarden's star,90795118.25699992,1.5189404256e+29,1228.9708370839912,12.578
2MASS J02535980+3206373,135835216.28999993,1.2341390958e+29,446.1338611621535,184.0
WISE J0254+0223,135835216.28999993,1.2341390958e+29,446.1338611621535,24.0
DEN 0255-4700,69347452.52699994,1.5189404256e+29,2106.713851772526,16.2
2MASS J03185403-3421292Â [de],69347452.52699994,9.3035101068e+28,1290.3622342106723,45.0
2MASS J03205965+1854233,82216051.96499993,1.67083446816e+29,1648.7166498646857,47.0
2MASS J03231002-4631237,118677083.706,4.3669537236e+28,206.80959887163243,192.0
SDSS J032553.17+042540.1,67917608.14499994,8.544039894e+28,1235.4476155259645,59.0
2MASS J03264225-2102057Â [de],92939884.82999994,3.4176159576e+28,263.90330722181835,80.0
2MASS J03284265+2302051Â [de],70062374.71799994,1.02528478728e+29,1393.1588584075591,98.0
2MASS J03341218-4953322,74351907.864,1.3860331383599998e+29,1672.3039433327008,27.0
LP 944-20,102233873.31299992,1.3860331383599998e+29,884.5243997792808,20.9
2MASP J0345432+254023,75066830.055,1.40501989368e+29,1663.0762207689872,88.0
Teide 1,270240588.1979999,1.0442715426e+29,95.37578426582247,380.0
2MASS J03510004-0052452,90795118.25699992,1.93664904264e+29,1566.9378172820889,48.0
2MASS J03552337+1133437,94369729.212,3.797351064e+28,284.407579076671,29.8
2MASS J04151954âˆ’0935066,67917608.14499994,5.696026596e+28,823.6317436839763,18.6
